N,N-gram,count
5,"56,1,32,72,3",9
5,"strstr,strstr,strrchr,5,0",6
5,"257,5,0,5,0",15
5,"9,32,72,3,1",8
5,"12,257,5,0,5",16
5,"14,9,14,56,11",25
5,"0,strstr,strstr,strrchr,5",6
5,"257,5,0,strstr,5",7
5,"12,257,5,0,strstr",9
5,"fclose,12,12,257,5",5
5,"strstr,5,0,strstr,strstr",9
5,"56,1,5,12,12",7
5,"56,11,14,61,13",25
5,"12,12,257,5,0",17
5,"14,61,13,13,14",25
5,"5,0,strstr,strstr,strrchr",6
5,"5,0,5,0,strstr",6
5,"strstr,strstr,5,0,strstr",9
5,"0,5,0,fclose,uname",5
5,"257,32,72,3,1",6
5,"0,strstr,strstr,strrchr,fclose",6
5,"0,fclose,12,12,257",5
5,"12,12,9,5,12",5
5,"1,32,72,3,1",16
5,"strstr,strrchr,5,0,fclose",6
5,"257,5,0,strstr,strstr",8
5,"0,strstr,5,0,strstr",8
5,"0,strstr,strstr,5,0",10
5,"va_start,va_end,257,1,3",5
5,"0,5,0,fclose,12",5
5,"12,257,5,12,12",5
5,"59,32,72,3,1",9
5,"13,14,9,14,56",25
5,"strstr,5,0,strstr,fclose",7
5,"102,13,13,14,9",5
5,"12,12,257,12,12",7
5,"12,257,12,12,257",7
5,"12,9,5,12,12",5
5,"14,56,11,14,61",25
5,"5,12,12,12,12",8
5,"5,0,5,0,5",18
5,"101,101,101,101,101",6
5,"5,0,5,0,fclose",15
5,"9,14,56,11,14",25
5,"12,5,12,12,5",6
5,"1,5,12,12,1",6
5,"11,14,61,13,13",25
5,"strstr,5,0,strstr,5",8
5,"257,5,12,12,exit",5
5,"5,0,fclose,12,12",5
5,"13,13,14,9,14",25
5,"5,0,strstr,strstr,fclose",8
5,"5,0,strstr,strstr,5",9
5,"257,12,12,257,5",7
5,"5,0,strstr,5,0",8
5,"strrchr,5,0,5,0",6
5,"0,fclose,5,12,12",5
5,"12,12,5,12,12",11
5,"strrchr,5,0,strstr,strstr",6
5,"5,12,12,5,12",10
5,"strstr,strrchr,5,0,5",6
5,"0,5,0,5,0",18
5,"41,32,72,3,1",11
5,"12,12,257,5,12",5
6,"0,5,0,fclose,12,12",5
6,"14,9,14,56,11,14",25
6,"5,0,fclose,12,12,257",5
6,"12,257,5,0,strstr,strstr",8
6,"0,5,0,5,0,5",17
6,"strstr,strstr,strrchr,5,0,strstr",6
6,"257,5,0,strstr,strstr,strrchr",6
6,"5,0,5,0,fclose,uname",5
