12,41
11,3
3,230
9,10
41,42
0,257
41,3
4,0
39,257
56,9
56,59
1,230
1,3
44,102
56,230
59,9
56,272
13,257
12,56
79,21
44,230
22,1
80,157
56,101
230,61
107,107
41,54
41,49
22,3
3,272
80,166
202,257
117,119
3,257
157,39
102,59
230,62
3,56
44,3
257,257
13,13
230,257
41,257
103,9
39,56
47,3
62,56
22,56
62,230
9,9
272,61
33,33
3,41
42,46
105,106
3,33
10,41
230,202
0,8
1,91
13,37
135,9
42,41
61,231
41,102
9,56
107,105
102,3
87,257
0,0
5,5
16,3
105,59
102,107
54,54
13,14
1,102
56,102
5,0
230,3
56,62
9,257
56,3
11,9
102,56
257,4
3,0
9,11
39,13
117,59
257,5
257,3
272,272
257,1
61,13
3,61
56,257
101,61
80,90
62,101
56,56
3,231
3,11
3,59
0,5
257,0
9,41
107,89
33,59
0,41
104,102
102,104
8,1
42,44
41,41
41,87
56,61
230,231
3,13
12,12
46,46
3,102
8,0
3,3
1,0
1,16
9,102
54,41
5,3
59,3
41,9
44,54
8,59
257,9
42,54
62,257
5,9
0,230
0,3
230,11
257,16
119,117
0,102
8,5
22,72
298,3
106,105
56,231
59,231
110,62
46,3
14,13
165,80
72,1
230,41
257,102
39,62
4,12
257,8
49,50
9,44
53,54
13,56
103,9,103
41,9,9
9,9,11
101,101,61
257,3,56
3,102,59
16,16,16
3,3,22
230,3,3
12,12,56
230,257,4
49,41,41
8,0,3
110,62,59
41,12,12
22,22,22
8,3,3
257,1,91
102,104,9
8,8,8
257,77,9
12,12,257
117,119,59
5,12,12
56,56,56
0,8,8
41,41,41
101,59,231
0,8,1
9,9,9
102,12,12
3,3,59
3,257,5
56,62,230
12,12,0
56,101,59
22,3,13
41,44,44
9,44,3
56,56,41
49,50,43
41,42,44
5,1,3
28,28,28
230,102,59
1,91,3
8,5,0
41,107,59
54,54,54
56,230,103
9,257,59
0,0,3
1,0,1
257,5,0
12,12,3
257,3,59
107,92,90
257,4,257
0,5,3
11,11,9
257,3,257
39,13,56
56,33,33
83,83,83
230,230,230
9,102,104
8,0,8
3,12,12
1,1,1
230,0,3
12,12,1
160,56,62
41,49,50
22,3,3
47,3,3
165,90,80
12,12,9
56,56,230
257,5,9
9,56,61
257,257,257
5,0,3
257,4,59
56,59,231
202,202,230
41,257,4
1,16,16
9,56,56
12,56,230
0,0,0
5,0,5
56,61,3
257,0,5
257,0,3
13,56,62
257,12,12
0,5,0
21,12,12
12,56,56
56,247,56
101,101,101
257,1,3
16,16,3
3,3,1
102,104,41
0,3,3
257,257,0
12,12,5
257,5,12,12
41,53,53,53
12,12,5,0
41,41,41,41
0,3,12,12
56,230,61,257
17,17,17,17
230,257,4,59
230,257,4,257
257,4,257,4
257,5,0,0
102,104,117,119
12,12,0,5
72,12,12,5
160,56,62,230
12,12,56,230
9,9,9,9
101,101,101,61
3,3,3,3
3,3,117,119
14,248,248,248
0,0,0,0
125,125,125,125
102,104,272,272
5,12,12,0
101,101,101,101
118,9,257,59
56,247,56,247
102,104,135,9
102,104,135,10
0,0,0,3
9,5,12,12
321,321,53,54
5,12,12,1
257,102,1,3
257,3,56,59
13,56,62,101
0,101,61,101
257,4,13,13
9,3,257,0
293,72,1,56
102,107,102,107
54,49,50,43
3,12,12,257
12,12,12,12
257,1,3,257
12,12,257,5
107,117,119,59
56,272,56,61
12,12,0,3
102,12,12,59
257,4,12,12
257,0,0,0,0
230,230,230,230,230
12,12,12,12,160
101,101,101,101,61
9,257,3,102,59
5,5,8,0,8
56,257,1,3,257
3,3,117,119,59
9,9,9,9,9
12,12,257,5,0
230,230,230,3,3
0,0,0,0,3
101,61,101,101,101
5,9,9,9,9
257,4,257,4,257
42,44,54,44,3
3,12,12,257,5
102,104,117,119,56
56,272,56,56,61,61
101,101,61,101,101,101
230,230,230,3,3,3
101,61,101,101,101,101
5,9,9,9,9,9
12,12,257,5,0,5
56,61,56,61,56,61
12,12,12,12,12,12
157,39,257,56,157,33
54,54,54,54,54,54
101,101,101,101,101,101
257,1,3,257,1,3
257,5,12,12,0,3
12,12,257,0,5,3
160,56,80,157,230,231
5,0,5,0,5,0
21,21,41,16,3,49
257,4,257,4,13,13
61,101,101,61,101,101
257,4,257,4,257,4
54,54,54,54,54,54,54
61,101,61,101,101,101,101
5,0,5,0,5,0,3
