EID,func,API use case
10613,mbstowcs,"__mbstowcs_alias (__dst, __src, __len);"
10613,wcstombs,"__builtin_object_size ((const void *) __dst, 1)"
10613,wcstombs,__builtin_constant_p (__len)
10613,wcstombs,"__wcstombs_chk (__dst, __src, __len, __builtin_object_size ((const void *) __dst, 1));"
10613,wcstombs,"__builtin_object_size ((const void *) __dst, 1) < (long unsigned int)"
10613,wcstombs,"__wcstombs_chk_warn (__dst, __src, __len, __builtin_object_size ((const void *) __dst, 1));"
10613,wcstombs,"__wcstombs_alias (__dst, __src, __len);"
10613,bcopy,"__builtin___memmove_chk (__dest, __src, __len, __builtin_object_size ((const void *) __dest, 0));"
10613,bzero,"__builtin___memset_chk (__dest, 0, __len, __builtin_object_size ((const void *) __dest, 0));"
10613,memcpy,"__builtin___memcpy_chk (__dest, __src, __len, __builtin_object_size ((const void *) __dest, 0));"
10613,memmove,"__builtin___memmove_chk (__dest, __src, __len, __builtin_object_size ((const void *) __dest, 0));"
10613,mempcpy,"__builtin___mempcpy_chk (__dest, __src, __len, __builtin_object_size ((const void *) __dest, 0));"
10613,memset,"__builtin___memset_chk (__dest, __ch, __len, __builtin_object_size ((const void *) __dest, 0));"
10613,explicit_bzero,"__explicit_bzero_chk (__dest, __len, __builtin_object_size ((const void *) __dest, 0));"
10613,strcpy,"__builtin___strcpy_chk (__dest, __src, __builtin_object_size ((const void *) __dest, 1));"
10613,stpcpy,"__builtin___stpcpy_chk (__dest, __src, __builtin_object_size ((const void *) __dest, 1));"
10613,strncpy,"__builtin___strncpy_chk (__dest, __src, __len, __builtin_object_size ((const void *) __dest, 1));"
10613,stpncpy,"__builtin_object_size ((const void *) __dest, 1) != 18446744073709551615 && (__builtin_constant_p (__n) == 0 || __builtin_object_size ((const void *) __dest, 1) < (long unsigned int) __n)"
10613,stpncpy,"__stpncpy_chk (__dest, __src, __n, __builtin_object_size ((const void *) __dest, 1));"
10613,stpncpy,"__stpncpy_alias (__dest, __src, __n);"
10613,strcat,"__builtin___strcat_chk (__dest, __src, __builtin_object_size ((const void *) __dest, 1));"
10613,strncat,"__builtin___strncat_chk (__dest, __src, __len, __builtin_object_size ((const void *) __dest, 1));"
