N,N-gram,count
2,"12,257",2
2,"12,exit",2
2,"3,1",2
2,"12,12",2
2,"9,5",2
2,"1,32",2
2,"5,12",2
2,"1,5",2
2,"72,3",2
2,"32,72",2
2,"257,5",2
2,"fclose,5",2
3,"32,72,3",2
3,"5,12,12",2
3,"12,12,exit",2
3,"257,5,12",2
3,"12,257,5",2
3,"1,5,12",2
3,"12,12,257",2
3,"9,5,12",2
3,"fclose,5,12",2
3,"1,32,72",2
3,"72,3,1",2
4,"1,32,72,3",2
4,"257,5,12,12",2
4,"9,5,12,12",2
4,"1,5,12,12",2
4,"fclose,5,12,12",2
4,"12,12,257,5",2
4,"32,72,3,1",2
4,"5,12,12,exit",2
4,"12,257,5,12",2
5,"1,32,72,3,1",2
5,"257,5,12,12,exit",2
5,"12,12,257,5,12",2
5,"12,257,5,12,12",2
6,"12,12,257,5,12,12",2
6,"12,257,5,12,12,exit",2
